genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AC003080.1,0,0,0,0,0,0,0,0,0,0,5,1
AC003084.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003086.1,0,0,0,0,21,0,0,0,14,0,9,9
AC003092.1,0,0,0,3,7,0,0,0,0,0,6,22
AC003092.2,0,0,0,0,0,0,0,1,0,0,0,0
AC003093.1,0,0,0,8,0,0,0,0,0,0,7,0
AC003098.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003101.1,0,0,0,0,0,0,0,0,1,0,0,1
AC003101.2,0,0,0,0,0,0,1,2,5,0,0,10
AC003102.1,0,0,0,19,15,14,0,1,15,0,9,11
AC003657.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003659.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003666.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003669.1,0,0,0,0,1,0,0,0,0,0,0,0
AC003681.1,43,2,1,151,189,152,4,3,34,37,254,68
AC003682.1,0,0,0,7,0,0,0,0,2,0,1,4
AC003684.1,0,0,0,0,14,0,0,0,0,0,0,1
AC003685.1,0,0,0,6,0,0,0,0,0,0,0,0
AC003685.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003686.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003688.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003956.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003957.1,0,0,0,1,0,0,0,0,0,0,0,0
AC003958.2,0,0,0,12,0,0,0,0,0,0,0,0
AC003965.1,0,0,0,2,0,0,0,6,2,0,0,2
AC003965.2,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.2,0,0,0,0,0,0,0,0,0,0,2,0
AC003975.1,0,0,0,7,0,0,0,0,0,0,0,0
AC003982.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,0,0,0,13,0,0,0,0,0,0,0
AC003985.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003986.1,0,0,0,0,0,0,0,3,0,0,1,0
AC003986.2,46,0,0,43,60,50,2,3,7,0,9,3
AC003986.3,5,0,0,1,0,0,1,0,0,0,1,0
AC003988.1,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.1,0,0,0,9,0,6,0,2,1,0,7,2
AC003989.2,0,0,0,0,0,0,0,0,0,0,8,0
AC003991.1,1,0,0,1,0,0,0,0,1,0,0,1
AC003991.2,0,0,0,0,0,0,0,1,0,0,3,0
AC003992.1,0,0,0,0,0,0,0,0,0,0,0,0
